wave flux flux_err continuum
6782.107421875 304.9288635253906 12.21842098236084 280.70538448926527
6783.357421875 244.15089416503906 12.414933204650879 280.6988846787717
6784.607421875 265.67889404296875 12.278250694274902 280.69447090051835
6785.857421875 259.49432373046875 12.108256340026855 280.6921552212443
6787.107421875 291.3900146484375 12.419164657592773 280.69194970768876
6788.357421875 275.7745056152344 12.550773620605469 280.6938664271147
6789.607421875 289.3255310058594 12.285333633422852 280.69791744602844
6790.857421875 263.6595458984375 11.881975173950195 280.70411483140197
6792.107421875 280.81640625 11.99368953704834 280.71247065026546
6793.357421875 261.724853515625 11.987625122070312 280.72299696918344
6794.607421875 297.0584411621094 12.148200988769531 280.7357058554189
6795.857421875 329.2228088378906 12.339643478393555 280.75060937553644
6797.107421875 292.0182189941406 12.241558074951172 280.76771959656617
6798.357421875 264.7654113769531 11.985739707946777 280.78704858542187
